,player_name,team
0,AJ Ediger,Iowa
1,Addison O'Grady,Iowa
2,Alexa Kastanek,Iowa
3,Alexis Sevillian,Iowa
4,Ally Disterhoft,Iowa
5,Amanda Ollinger,Iowa
6,Bethany Doolitte,Iowa
7,Bre Cera,Milwaukee
8,Caitlin Clark,Iowa
9,Carly Mohns,Green Bay
10,Chase Coley,Iowa
11,Christina Buttenham,Iowa
12,Claire Till,Iowa
13,Danni Huss,Iowa
14,Gabbie Marshall,Iowa
15,Gabby Machado,Iowa
16,Hailey Schneden,Iowa
17,Hannah Stewart,Iowa
18,Hannah Stuelke,Iowa
19,Jada Gyamfi,Iowa
20,Jaime Printy,Iowa
21,Kachine Alexander,Iowa
22,Kali Peschel,Iowa
23,Kalli Hansen,Iowa
24,Kamille Wahlin,Iowa
25,Kate Martin,Iowa
26,Kathleen Doyle,Iowa
27,Kathryn Reynolds,Iowa
28,Kathy Thomas,Iowa
29,Kayla Timmerman,Iowa
30,Kelly Krei,Iowa
31,Kelsey Cermak,Iowa
32,Kylie Feuerbach,Iowa
33,Lauren Jensen,Creighton
34,Logan Cook,Providence
35,Makenzie Meyer,Iowa
36,McKenna Warnock,Iowa
37,Megan Considine,Iowa
38,Megan Gustafson,Iowa
39,Megan Meyer,Drake
40,Melissa Dixon,Iowa
41,Molly Davis,Iowa
42,Monika Czinano,Iowa
43,Morgan Johnson,Iowa
44,Nicole Smith,Iowa
45,Paula Valino Ramos,Iowa
46,Samantha Logic,Iowa
47,Sharon Goodman,Iowa
48,Shateah Wetering,Iowa
49,Sydney Affolter,Iowa
50,Tagyn Larson,South Dakota St.
51,Tania Davis,Iowa
52,Taylor McCabe,Iowa
53,Theairra Taylor,Iowa
54,Tomi Taiwo,TCU
55,Trisha Nesbitt,Iowa
56,Whitney Jennings,Butler
57,Zion Sanders,Iowa
